Record Create Date,Document Type,Document Number,Company Name,Item Number,Item Description Line 1,Item Description Line 2,Item Description Line 3,Quantity Ordered,Quantity Received,Receiving U/M,Net Purchase Price,Net Amount,Product Group Code,Product Subgroup Code,Product Class Code,Helper,Classification Description
11/7/2023,RR,S0994395,419 HORSESHOE BLACKHAWK,2230400387,(POKER) COFFEE KAMORA 1LTR/12BTLS,,,1,1,CASE,138.36,138.36,22,30,40,223040,LIQUEUR/CORDIAL/APERTIF 
12/15/2023,RV,R0880164,605 CAESARS PALACE,2230400226,ABSINTHE PERNOD 6-750/CS,,NATIONAL PROGRAM PORTFOLIO PERNOD RICARD,1,1,CASE,466.65,466.65,22,30,40,223040,LIQUEUR/CORDIAL/APERTIF 
12/15/2023,RR,S1039521,605 CAESARS PALACE,2230400226,ABSINTHE PERNOD 6-750/CS,,NATIONAL PROGRAM PORTFOLIO PERNOD RICARD,1,1,CASE,466.65,466.65,22,30,40,223040,LIQUEUR/CORDIAL/APERTIF 
10/24/2023,RV,R0853592,445 HORSESHOE LAKE CHARLES,2230400226,ABSINTHE PERNOD 6-750/CS,,NATIONAL PROGRAM PORTFOLIO PERNOD RICARD,1,0,CASE,1,1,22,30,40,223040,LIQUEUR/CORDIAL/APERTIF 
10/25/2023,RV,R0853949,445 HORSESHOE LAKE CHARLES,2230400226,ABSINTHE PERNOD 6-750/CS,,NATIONAL PROGRAM PORTFOLIO PERNOD RICARD,1,0,CASE,1,1,22,30,40,223040,LIQUEUR/CORDIAL/APERTIF 
10/25/2023,RV,R0854459,445 HORSESHOE LAKE CHARLES,2230400226,ABSINTHE PERNOD 6-750/CS,,NATIONAL PROGRAM PORTFOLIO PERNOD RICARD,1,1,CASE,418.85,418.85,22,30,40,223040,LIQUEUR/CORDIAL/APERTIF 
11/2/2023,RV,R0858178,635 PARIS LAS VEGAS,2230400226,ABSINTHE PERNOD 6-750/CS,,NATIONAL PROGRAM PORTFOLIO PERNOD RICARD,1,1,CASE,466.65,466.65,22,30,40,223040,LIQUEUR/CORDIAL/APERTIF 
12/7/2023,RR,S1028926,415 LADY LUCK BLACK HAWK,2210200411,ACG CN AMBER 1/2 KEG,,,1,1,KEG,163,163,22,10,20,221020,BEER KEGS          
10/19/2023,RR,S0972507,419 HORSESHOE BLACKHAWK,2210200411,ACG CN AMBER 1/2 KEG,,,1,1,KEG,163,163,22,10,20,221020,BEER KEGS          
10/19/2023,RR,S0972516,419 HORSESHOE BLACKHAWK,2210200411,ACG CN AMBER 1/2 KEG,,,2,2,KEG,163,326,22,10,20,221020,BEER KEGS          
11/9/2023,RR,S0998329,419 HORSESHOE BLACKHAWK,2210200411,ACG CN AMBER 1/2 KEG,,,1,1,KEG,163,163,22,10,20,221020,BEER KEGS          
